"Country_Name","Country_Code","Year","Year_Code","Clean_Fuels_Access_For_Cooking","Energy_Intensity_Primary_Energy","Renewable_Electricity_Output","Renewable_Electricity_Share_of_Total_Output","Renewable_Energy_Consumption","Renewable_Energy_Share_TFEC","Total_Electricity_Output","Total_Final_Energy_Consumption"
"Belgium","BEL",2004,"YR2004",100,6.019947749,1497,1.774684955,29827.22,2.02423789,84353,1473503.69
"Belgium","BEL",2005,"YR2005",100,5.889367817,2106,2.457151524,35251.88,2.466935523,85709,1428974.518
"Belgium","BEL",2006,"YR2006",100,5.695156695,2952,3.499786598,40459.49,2.826623887,84348,1431371.545
"Belgium","BEL",2007,"YR2007",100,5.413183527,3486,3.982725528,46372.26,3.329081249,87528,1392944.676
"Belgium","BEL",2008,"YR2008",100,5.535094703,4418,5.285763852,56267.56,3.911750297,83583,1438424.126
"Belgium","BEL",2009,"YR2009",100,5.440103234,5439,6.056388215,66733.06,4.833459354,89806,1380648.002
"Belgium","BEL",2010,"YR2010",100,5.698716746,6494,6.920806113,86011.18,5.837391476,93833,1473452.318
"Belgium","BEL",2011,"YR2011",100,5.213626749,8377,9.410879188,89948.52,6.632065148,89014,1356267.135
"Belgium","BEL",2012,"YR2012",100,4.983873047,10458,12.81287904,106269.8,7.758729066,81621,1369680.512
"Belgium","BEL",2013,"YR2013",100,5.164315523,11675,14.20938611,116093.9,8.129434523,82183,1428068.578
"Belgium","BEL",2014,"YR2014",100,4.782440467,12213,17.0806411,120885.3,9.073995098,71455,1332216.942
"Belgium","BEL",2015,"YR2015",100,4.741274111,14466,20.80002301,128345.2,9.201640531,69548,1394807.802
"Croatia","HRV",2004,"YR2004",85.07,4.855038633,7633,54.92552349,76917.54,26.58523781,13897,289324.2504
"Croatia","HRV",2005,"YR2005",85.77,4.730940985,7060,54.07061346,80199.33,26.8368897,13057,298839.8838
"Croatia","HRV",2006,"YR2006",86.93,4.489793043,6647,51.43542521,76442.11,25.51721578,12923,299570.7316
"Croatia","HRV",2007,"YR2007",87.55,4.439970167,4743,37.80789159,68143.04,22.67215589,12545,300558.2721
"Croatia","HRV",2008,"YR2008",88.48,4.241522531,5842,45.70847352,73650.5,24.15591135,12781,304896.3831
"Croatia","HRV",2009,"YR2009",89.18,4.428461852,7488,56.00598355,80443.4,27.17825646,13370,295984.4025
"Croatia","HRV",2010,"YR2010",89.91,4.450794166,9298,62.84130846,88498.82,29.77504731,14796,297224.7839
"Croatia","HRV",2011,"YR2011",90.54,4.356355101,5289,47.03842049,77919.73,27.18623939,11244,286614.5953
"Croatia","HRV",2012,"YR2012",90.91,4.191910278,5262,49.67431323,80441.68,29.42194887,10593,273407.0416
"Croatia","HRV",2013,"YR2013",91.33,4.148082602,9275,66.50175665,88538.09,32.8375106,13947,269624.854
"Croatia","HRV",2014,"YR2014",91.96,3.946157917,9937,73.95802322,86063.93,33.64819127,13436,255775.7988
"Croatia","HRV",2015,"YR2015",92.28,4.053076043,7510,66.82683752,89589.79,33.12746664,11238,270439.6053
"France","FRA",2004,"YR2004",100,4.990643234,63940,11.24298852,570263.8,8.887711893,568710,6416317.348
"France","FRA",2005,"YR2005",100,4.932068645,56325,9.860646697,548808.1,8.596912157,571210,6383781.641
"France","FRA",2006,"YR2006",100,4.740105419,62339,10.94757583,530365.3,8.460112829,569432,6269009.772
"France","FRA",2007,"YR2007",100,4.577936356,65909,11.69092631,571542.2,9.321328315,563762,6131553.151
"France","FRA",2008,"YR2008",100,4.589101947,73826,12.97920893,649586.9,10.47323036,568802,6202354.744
"France","FRA",2009,"YR2009",100,4.52464753,69661,13.12716357,669329.4,11.22200621,530663,5964436.191
"France","FRA",2010,"YR2010",100,4.577213349,78195,13.85735931,731191.6,11.8458733,564285,6172542.802
"France","FRA",2011,"YR2011",100,4.315282989,64399,11.57474725,617406.4,10.91369044,556374,5657173.471
"France","FRA",2012,"YR2012",100,4.316593164,83036,14.82735407,725254.3,12.37295876,560826,5861607.672
"France","FRA",2013,"YR2013",100,4.310501534,96672,17.04528624,808277.4,13.47737443,567157,5997291.267
"France","FRA",2014,"YR2014",100,4.082022916,91807,16.45590494,736346.1,13.34702464,556979,5516930.701
"France","FRA",2015,"YR2015",100,4.101853699,89357,15.85766663,760300.4,13.49926232,563494,5632162.574
"Germany","DEU",2004,"YR2004",100,4.576951194,56634,9.267474493,510485.3,5.825244433,611105,8763328.404
"Germany","DEU",2005,"YR2005",100,4.511465998,62505,10.15021111,583527.7,6.764551009,615800,8626259.145
"Germany","DEU",2006,"YR2006",100,4.47122845,71638,11.32201311,683859.3,7.753224656,632732,8820320.967
"Germany","DEU",2007,"YR2007",100,4.099191676,88320,13.93800806,775851.8,9.406587903,633663,8247962.045
"Germany","DEU",2008,"YR2008",100,4.099406678,93249,14.6992339,734775.9,8.592248257,634380,8551613.944
"Germany","DEU",2009,"YR2009",100,4.068098366,94858,16.07855368,781838.3,9.63006157,589966,8118725.87
"Germany","DEU",2010,"YR2010",100,4.115335557,104809,16.72707367,889170.7,10.29351964,626583,8638160.04
"Germany","DEU",2011,"YR2011",100,3.773036713,123773,20.38328272,935657,11.39435591,607228,8211583.065
"Germany","DEU",2012,"YR2012",100,3.771810715,143458,23.00045854,997310,12.01513573,623718,8300447.226
"Germany","DEU",2013,"YR2013",100,3.831755977,152366,24.07254975,1030489,12.08907875,632945,8524131.747
"Germany","DEU",2014,"YR2014",100,3.640399424,162513,26.13009657,1087820,13.37887823,621938,8130876.006
"Germany","DEU",2015,"YR2015",100,3.603094155,187366,29.23177012,1183042,14.2062527,640967,8327614.785
"Italy","ITA",2004,"YR2004",100,3.59250605,53871,18.21338373,322158.2,5.935948542,295777,5427240.444
"Italy","ITA",2005,"YR2005",100,3.626716622,48439,16.31821857,372301.3,6.702639079,296840,5554547.927
"Italy","ITA",2006,"YR2006",100,3.52295333,50635,16.45644494,411530.8,7.512564041,307691,5477900.724
"Italy","ITA",2007,"YR2007",100,3.460545796,47715,15.48072493,474291.2,8.731729747,308222,5431812.639
"Italy","ITA",2008,"YR2008",100,3.451213101,58163,18.55119336,587284.9,10.8233493,313527,5426092.088
"Italy","ITA",2009,"YR2009",100,3.409493031,69255,24.01893631,642121.3,12.53975273,288335,5120685.502
"Italy","ITA",2010,"YR2010",100,3.434370982,76965,25.76035987,665169,12.794093,298773,5199032.085
"Italy","ITA",2011,"YR2011",100,3.301290762,82963,27.59472872,591321.2,11.90494027,300648,4967023.661
"Italy","ITA",2012,"YR2012",100,3.262783477,92223,31.02039032,708149.9,14.39164897,297298,4920561.235
"Italy","ITA",2013,"YR2013",100,3.19857425,112012,38.90534856,783549.1,16.32088504,287909,4800898.346
"Italy","ITA",2014,"YR2014",100,2.977931579,120679,43.39160638,782684.4,17.09035884,278116,4579683.827
"Italy","ITA",2015,"YR2015",100,3.072198971,108906,38.67922518,778697.1,16.51685058,281562,4714561.631
"Portugal","PRT",2004,"YR2004",100,3.878131314,12314,27.47005153,148898,19.86932538,44827,749386.2885
"Portugal","PRT",2005,"YR2005",100,3.943466025,8260,17.88343293,135676.3,18.07280039,46188,750720.9566
"Portugal","PRT",2006,"YR2006",100,3.691442954,15722,32.36577734,165242.4,22.33175137,48576,739943.7566
"Portugal","PRT",2007,"YR2007",100,3.627036528,16218,34.58290686,175078.2,23.14813607,46896,756338.2187
"Portugal","PRT",2008,"YR2008",100,3.526733381,14642,32.19791094,170115.3,23.18916935,45475,733598.0751
"Portugal","PRT",2009,"YR2009",100,3.586701625,18291,36.96495695,181026.2,24.89454299,49482,727172.2163
"Portugal","PRT",2010,"YR2010",100,3.397078909,28353,52.80773314,200638.4,27.82797757,53691,720995.2628
"Portugal","PRT",2011,"YR2011",100,3.364036468,24115,46.47510022,186850.7,27.21910302,51888,686468.984
"Portugal","PRT",2012,"YR2012",100,3.289445383,19370,42.50043883,161008,25.51744089,45576,630972.3639
"Portugal","PRT",2013,"YR2013",100,3.339425067,29471,58.31915146,187809.8,30.17205521,50534,622462.7348
"Portugal","PRT",2014,"YR2014",100,3.274580852,31560,60.740199,188091.1,30.45700808,51959,617562.6296
"Portugal","PRT",2015,"YR2015",100,3.344354013,24372,47.52637429,169816.1,27.15729839,51281,625305.572
"Poland","POL",2004,"YR2004",100,6.084547668,3207,2.102261554,173142,7.310031005,152550,2368553.565
"Poland","POL",2005,"YR2005",100,5.950203906,3847,2.476200285,173045.1,7.21471645,155359,2398501.746
"Poland","POL",2006,"YR2006",100,5.884537714,4291,2.669129905,179586.8,7.183965055,160764,2499828.418
"Poland","POL",2007,"YR2007",100,5.465546823,5430,3.420235448,182391.7,7.275764524,158761,2506838.964
"Poland","POL",2008,"YR2008",100,5.337846448,6608,4.271217116,204127.2,8.010540196,154710,2548232.641
"Poland","POL",2009,"YR2009",100,5.005002724,8678,5.742418327,223113.7,8.842062692,151121,2523321.851
"Poland","POL",2010,"YR2010",100,5.151667136,10888,6.931102751,257873.1,9.488623858,157089,2717708.109
"Poland","POL",2011,"YR2011",100,4.93306577,13137,8.053678932,276416.4,10.43787918,163118,2648204.633
"Poland","POL",2012,"YR2012",100,4.698252972,16879,10.43775624,287378.6,10.91514325,161711,2632843.138
"Poland","POL",2013,"YR2013",100,4.6351435,17067,10.40531148,295061.8,11.41337981,164022,2585227.206
"Poland","POL",2014,"YR2014",100,4.254309584,19843,12.51861105,290342.5,11.56931553,158508,2509590.989
"Poland","POL",2015,"YR2015",100,4.135685203,22683,13.80239867,302285.7,11.91148821,164341,2537766.018
"Netherlands","NLD",2004,"YR2004",100,4.953732889,5307,5.243345782,47010.47,2.239479432,101214,2099169.536
"Netherlands","NLD",2005,"YR2005",100,4.768179223,7445,7.4508862,57259.28,2.771630523,99921,2065905.954
"Netherlands","NLD",2006,"YR2006",100,4.554004701,8051,8.146064574,64827.37,3.151838281,98833,2056811.429
"Netherlands","NLD",2007,"YR2007",100,4.386657031,7583,7.21057386,74957.87,3.721633781,105165,2014111.931
"Netherlands","NLD",2008,"YR2008",100,4.276487633,9531,8.861759893,81354.52,3.973984795,107552,2047177.435
"Netherlands","NLD",2009,"YR2009",100,4.350821203,10836,9.531097448,87267.63,4.410131668,113691,1978798.743
"Netherlands","NLD",2010,"YR2010",100,4.589628585,11197,9.387943322,82182.62,3.873162742,119270,2121847.841
"Netherlands","NLD",2011,"YR2011",100,4.184879854,12322,10.81228118,92264.89,4.696714057,113963,1964456.19
"Netherlands","NLD",2012,"YR2012",100,4.254015822,12514,12.11446495,97473.33,4.962298743,103298,1964277.748
"Netherlands","NLD",2013,"YR2013",100,4.245298958,12183,11.97511205,98861.53,5.024976324,101736,1967402.901
"Netherlands","NLD",2014,"YR2014",100,3.964626966,11708,11.32104663,100912.6,5.659627737,103418,1783025.398
"Netherlands","NLD",2015,"YR2015",100,3.936630335,13695,12.44208231,107380.2,5.889463079,110070,1823259.583
"Spain","ESP",2004,"YR2004",100,4.143031769,50170,18.1346963,304944.9,8.032087626,276652,3796583.332
"Spain","ESP",2005,"YR2005",100,4.078545405,42263,14.60139232,286009.7,7.289816473,289445,3923414.274
"Spain","ESP",2006,"YR2006",100,3.911672736,52149,17.64281993,324023.2,8.47220721,295582,3824542.908
"Spain","ESP",2007,"YR2007",100,3.823139888,58283,19.30930065,353515.9,9.005387929,301839,3925604.347
"Spain","ESP",2008,"YR2008",100,3.656071351,62143,19.98308562,368151.7,9.737202935,310978,3780877.347
"Spain","ESP",2009,"YR2009",100,3.48573642,74080,25.38124981,428621.4,12.21794729,291869,3508129.392
"Spain","ESP",2010,"YR2010",100,3.482530245,97776,32.77554304,513546.1,14.39578579,298320,3567336.354
"Spain","ESP",2011,"YR2011",100,3.461770102,87523,30.0216442,506659.2,14.74592653,291533,3435926.518
"Spain","ESP",2012,"YR2012",100,3.548875061,86962,29.58474801,519522.5,15.77095021,293942,3294173.738
"Spain","ESP",2013,"YR2013",100,3.367813648,111406,39.58357761,539846.5,16.9499657,281445,3184941.549
"Spain","ESP",2014,"YR2014",100,3.308066631,110269,40.10525588,541486.8,17.3517358,274949,3120649.174
"Spain","ESP",2015,"YR2015",100,3.327359042,97088,34.94989057,513540.8,16.25409774,277792,3159454.362
"Switzerland","CHE",2004,"YR2004",100,2.963374229,34751,54.41321538,153198.6,18.64231442,63865,821778.8657
"Switzerland","CHE",2005,"YR2005",100,2.859747563,32280,55.85838135,160987.6,19.31090915,57789,833661.4227
"Switzerland","CHE",2006,"YR2006",100,2.870579249,32141,51.72685722,154265.8,18.65681068,62136,826860.5104
"Switzerland","CHE",2007,"YR2007",100,2.621101093,36479,54.906004,159574.1,19.93005169,66439,800670.7785
"Switzerland","CHE",2008,"YR2008",100,2.663215546,37325,55.67903813,168002.3,20.24202047,67036,829968.0371
"Switzerland","CHE",2009,"YR2009",100,2.741257189,37033,55.5442233,169071,20.75387289,66673,814647.9498
"Switzerland","CHE",2010,"YR2010",100,2.586760908,37471,56.72954642,182261.1,21.46036384,66052,849291.752
"Switzerland","CHE",2011,"YR2011",100,2.460109773,34018,54.09299071,168578,21.55703291,62888,782009.2898
"Switzerland","CHE",2012,"YR2012",100,2.456806363,40526,59.47461109,186281.6,22.95850279,68140,811383.9205
"Switzerland","CHE",2013,"YR2013",100,2.51924697,40678,59.19383003,191033,22.99251967,68720,830848.4793
"Switzerland","CHE",2014,"YR2014",100,2.260459146,40670,58.01546318,178272,23.41814723,70102,761255.7828
"Switzerland","CHE",2015,"YR2015",100,2.194576273,41111,62.19798175,195365.5,25.29198368,66097,772440.4003
"United Kingdom","GBR",2004,"YR2004",100,4.293607104,14137,3.613032166,66016.19,1.13725833,391287,5804854.383
"United Kingdom","GBR",2005,"YR2005",100,4.188195306,16938,4.283481612,77836.54,1.352279738,395425,5755949.587
"United Kingdom","GBR",2006,"YR2006",100,4.012097379,18106,4.602089317,87957.64,1.553919991,393429,5660371.223
"United Kingdom","GBR",2007,"YR2007",100,3.769392992,19689,5.01029338,102465,1.839650772,392970,5569807.138
"United Kingdom","GBR",2008,"YR2008",100,3.728649409,21847,5.677052205,155496.3,2.782791914,384805,5587780.359
"United Kingdom","GBR",2009,"YR2009",100,3.668941727,25245,6.766808463,175739.7,3.383031663,373035,5194740.029
"United Kingdom","GBR",2010,"YR2010",100,3.740167958,25785,6.812813426,198481.1,3.638918262,378621,5454398.415
"United Kingdom","GBR",2011,"YR2011",100,3.400856793,34530,9.489053101,218559.6,4.401118621,364517,4966001.119
"United Kingdom","GBR",2012,"YR2012",100,3.465200612,41125,11.42396018,243652.1,4.751257619,360616,5128160.154
"United Kingdom","GBR",2013,"YR2013",100,3.352831074,53280,14.98848014,309751.8,6.015780949,356264,5148987.349
"United Kingdom","GBR",2014,"YR2014",100,3.068878182,64587,19.26285368,358785.1,7.395220456,336042,4851580.858
"United Kingdom","GBR",2015,"YR2015",100,3.017314468,83551,24.84005042,429157.5,8.711685574,336356,4926228.068
"Greece","GRC",2004,"YR2004",91.19,3.782051348,5918,10.06240117,61593.27,7.539981331,58813,816888.8926
"Greece","GRC",2005,"YR2005",91.77,3.828394709,6406,10.77961196,64774.98,7.72374229,59427,838647.6085
"Greece","GRC",2006,"YR2006",92.26,3.620715939,7679,12.76026521,70386.65,8.211680139,60179,857152.8458
"Greece","GRC",2007,"YR2007",92.66,3.504792087,4594,7.325668543,69486.73,7.918628933,62711,877509.6117
"Greece","GRC",2008,"YR2008",92.98,3.539770169,5750,9.139750763,68754.46,8.10995865,62912,847778.1819
"Greece","GRC",2009,"YR2009",93.3,3.579140103,8185,13.39738763,73483.44,8.920028783,61094,823802.7229
"Greece","GRC",2010,"YR2010",93.63,3.55173848,10522,18.34155525,85083.18,11.09298261,57367,767000.0305
"Greece","GRC",2011,"YR2011",93.77,3.786016243,8143,13.76157642,84165.89,11.08831581,59172,759050.2603
"Greece","GRC",2012,"YR2012",93.98,4.054509533,10151,16.70369091,94858.53,13.85937775,60771,684435.7065
"Greece","GRC",2013,"YR2013",94.1,3.682004289,14349,25.12343734,99687.37,16.29381751,57114,611811.0131
"Greece","GRC",2014,"YR2014",94.22,3.706200901,12177,24.18806984,99323.25,16.08579272,50343,617459.4669
"Greece","GRC",2015,"YR2015",94.31,3.72312235,14850,28.65578326,112744.2,17.17004755,51822,656633.0099
"Denmark","DNK",2004,"YR2004",100,3.503055506,9525,23.55574241,87943.02,14.44906977,40436,608641.3962
"Denmark","DNK",2005,"YR2005",100,3.324725293,9812,27.0705733,98783.26,16.12639783,36246,612556.2635
"Denmark","DNK",2006,"YR2006",100,3.435298787,9201,20.17276534,94541.65,15.26712374,45611,619249.91
"Denmark","DNK",2007,"YR2007",100,3.325438477,10305,26.21070302,109862.8,17.70092817,39316,620661.2385
"Denmark","DNK",2008,"YR2008",100,3.256609903,10096,27.57264584,113606.2,18.54925469,36616,612456.9526
